Date,Open,High,Low,Close,Adj Close,Volume
2019-02-27,45.970001,46.560001,45.619999,46.480000,45.155994,678500
2019-02-28,46.270000,46.310001,45.790001,45.830002,44.852604,569300
2019-03-01,46.150002,46.450001,45.820000,46.279999,45.293003,588000
2019-03-04,46.169998,46.740002,45.580002,45.939999,44.960255,402300
2019-03-05,45.939999,45.939999,44.820000,45.439999,44.470917,442600
2019-03-06,45.419998,45.459999,44.049999,44.189999,43.247578,566100
2019-03-07,43.930000,44.130001,42.509998,42.860001,41.945942,978100
2019-03-08,42.619999,43.049999,42.299999,42.900002,41.985088,690600
2019-03-11,42.990002,43.349998,42.480000,42.900002,41.985088,998000
2019-03-12,42.900002,43.180000,42.400002,42.840000,41.926369,641200
2019-03-13,43.110001,44.110001,42.889999,44.020000,43.081203,1223500
2019-03-14,43.959999,44.230000,43.689999,44.119999,43.179066,669300
2019-03-15,44.040001,44.570000,43.549999,43.900002,42.963764,1791200
2019-03-18,44.090000,45.060001,44.049999,44.840000,43.883717,1032300
2019-03-19,45.099998,45.099998,42.810001,42.930000,42.014446,711700
2019-03-20,42.650002,43.320000,41.209999,41.340000,40.458355,1084600
2019-03-21,41.060001,41.410000,40.340000,40.599998,39.734138,1235600
2019-03-22,40.209999,40.209999,38.560001,38.900002,38.070393,1281300
2019-03-25,38.900002,39.509998,38.389999,39.169998,38.334637,840500
2019-03-26,39.939999,40.209999,39.400002,39.930000,39.078430,885600
2019-03-27,39.610001,40.669998,39.570000,40.369999,39.509045,779800
2019-03-28,40.299999,41.029999,40.139999,41.000000,40.125610,518800
2019-03-29,41.430000,41.669998,40.820000,41.160000,40.282196,860300
2019-04-01,41.610001,42.389999,41.509998,42.230000,41.329376,644900
2019-04-02,42.040001,42.669998,41.660000,42.400002,41.495754,583700
2019-04-03,43.049999,43.250000,42.500000,42.700001,41.789352,842100
2019-04-04,42.750000,43.630001,42.650002,43.540001,42.611439,867900
2019-04-05,43.689999,43.869999,43.320000,43.720001,42.787601,682400
2019-04-08,43.790001,44.049999,43.389999,43.730000,42.797386,507100
2019-04-09,43.459999,43.520000,42.790001,42.869999,41.955730,586900
2019-04-10,42.849998,43.250000,42.189999,43.200001,42.278694,597300
2019-04-11,43.500000,43.779999,43.099998,43.270000,42.347198,597800
2019-04-12,44.020000,44.610001,43.450001,44.380001,43.433529,711300
2019-04-15,44.189999,44.439999,43.200001,43.340000,42.415703,382700
2019-04-16,43.470001,44.189999,43.150002,44.009998,43.071415,489400
2019-04-17,44.200001,44.779999,43.590000,44.750000,43.795631,829800
2019-04-18,44.720001,44.720001,43.750000,44.150002,43.208431,634700
2019-04-22,43.910000,43.910000,42.689999,42.689999,41.779564,479200
2019-04-23,42.570000,43.639999,42.369999,43.619999,42.689735,628600
2019-04-24,42.619999,44.150002,42.500000,43.580002,42.650589,926100
2019-04-25,43.139999,43.450001,42.740002,43.090000,42.171036,612500
2019-04-26,43.040001,44.119999,42.880001,44.040001,43.100777,499400
2019-04-29,44.189999,44.799999,44.040001,44.330002,43.384594,410900
2019-04-30,44.209999,44.439999,43.700001,43.930000,42.993122,484800
2019-05-01,43.939999,44.330002,42.900002,43.259998,42.337410,499600
2019-05-02,43.349998,43.910000,43.070000,43.820000,42.885468,298200
2019-05-03,43.900002,44.740002,43.880001,44.709999,43.756489,487900
2019-05-06,43.820000,44.919998,43.580002,44.700001,43.746704,365400
2019-05-07,44.110001,44.220001,43.139999,43.360001,42.435276,384300
2019-05-08,43.400002,43.669998,42.720001,42.820000,41.906796,506200
2019-05-09,42.320000,42.849998,41.860001,42.700001,41.789352,517400
2019-05-10,42.599998,42.880001,41.720001,42.770000,41.857861,372800
2019-05-13,41.930000,42.020000,40.430000,40.599998,39.734138,534700
2019-05-14,40.639999,41.889999,40.529999,41.730000,40.991489,532300
2019-05-15,41.150002,41.270000,40.139999,40.299999,39.586796,555900
2019-05-16,40.590000,41.450001,40.590000,41.209999,40.480690,391200
2019-05-17,40.770000,41.389999,40.430000,40.480000,39.763607,334600
2019-05-20,40.230000,41.060001,40.230000,40.900002,40.176178,491900
2019-05-21,41.060001,41.669998,41.060001,41.520000,40.785206,332800
2019-05-22,41.169998,41.349998,40.730000,40.770000,40.048477,227300
2019-05-23,40.250000,40.310001,39.360001,39.650002,38.948299,491400
2019-05-24,39.889999,40.029999,39.599998,39.980000,39.272461,390700
2019-05-28,39.750000,40.029999,39.139999,39.189999,38.496437,488500
2019-05-29,38.919998,39.689999,38.669998,39.520000,38.820599,538700
2019-05-30,39.540001,39.930000,38.240002,38.590000,37.907055,424600
2019-05-31,38.009998,38.439999,37.770000,37.860001,37.189980,797000
2019-06-03,37.830002,39.110001,37.560001,38.560001,37.877590,807900
2019-06-04,39.330002,40.270000,38.910000,40.200001,39.488564,773000
2019-06-05,40.200001,40.209999,39.139999,39.570000,38.869713,368000
2019-06-06,39.130001,39.360001,38.410000,39.029999,38.671551,387400
2019-06-07,38.900002,38.900002,38.369999,38.650002,38.295044,358100
2019-06-10,39.090000,39.610001,38.840000,38.869999,38.513020,405900
2019-06-11,39.139999,39.400002,38.639999,38.959999,38.602192,409200
2019-06-12,38.900002,38.990002,38.279999,38.720001,38.364399,415900
2019-06-13,38.980000,39.369999,38.709999,39.139999,38.780540,407500
2019-06-14,39.250000,39.599998,38.509998,39.400002,39.038155,624800
2019-06-17,39.369999,40.139999,39.009998,39.590000,39.226406,1250000
2019-06-18,39.709999,40.650002,39.320000,40.209999,39.840714,585400
2019-06-19,40.439999,40.810001,39.599998,39.619999,39.256130,398600
2019-06-20,39.869999,40.020000,39.080002,39.509998,39.147141,795200
2019-06-21,39.360001,39.830002,39.310001,39.450001,39.087696,1202500
2019-06-24,39.430000,39.980000,38.520000,39.330002,38.968796,655200
2019-06-25,39.340000,39.639999,38.680000,39.540001,39.176868,755700
2019-06-26,39.810001,40.419998,39.590000,40.110001,39.741634,885400
2019-06-27,40.090000,40.980000,40.090000,40.610001,40.237041,1020400
2019-06-28,40.970001,41.459999,40.450001,41.110001,40.732449,1224000
2019-07-01,41.509998,42.040001,41.139999,41.529999,41.148590,559000
2019-07-02,41.430000,41.430000,40.750000,41.049999,40.672997,731100
2019-07-03,41.279999,41.509998,41.020000,41.509998,41.128773,191700
2019-07-05,41.770000,42.330002,41.770000,42.200001,41.812439,309900
2019-07-08,41.900002,41.900002,41.009998,41.590000,41.208038,614600
2019-07-09,41.240002,41.720001,41.150002,41.669998,41.287304,434800
2019-07-10,41.610001,41.650002,41.020000,41.189999,40.811710,456200
2019-07-11,41.320000,41.520000,40.750000,41.439999,41.059418,422200
2019-07-12,41.610001,41.980000,41.320000,41.840000,41.455746,382000
